id,attribute,value,k,group_fairness_score
0, gender,0,5,-0.09999999999999998
0, gender,0,10,-0.09999999999999998
0, gender,0,15,-0.09999999999999998
0, gender,0,20,0.0
0, gender,0,25,-0.020000000000000018
0, gender,1,5,0.09999999999999998
0, gender,1,10,0.09999999999999998
0, gender,1,15,0.09999999999999998
0, gender,1,20,0.0
0, gender,1,25,0.020000000000000018
1, gender,0,5,-0.09999999999999998
1, gender,0,10,0.0
1, gender,0,15,-0.033333333333333326
1, gender,0,20,-0.09999999999999998
1, gender,0,25,-0.14
1, gender,1,5,0.09999999999999998
1, gender,1,10,0.0
1, gender,1,15,0.033333333333333326
1, gender,1,20,0.09999999999999998
1, gender,1,25,0.14
2, gender,0,5,-0.09999999999999998
2, gender,0,10,0.09999999999999998
2, gender,0,15,-0.033333333333333326
2, gender,0,20,-0.050000000000000044
2, gender,0,25,-0.06000000000000005
2, gender,1,5,0.09999999999999998
2, gender,1,10,-0.09999999999999998
2, gender,1,15,0.033333333333333326
2, gender,1,20,0.04999999999999999
2, gender,1,25,0.06
3, gender,0,5,0.09999999999999998
3, gender,0,10,0.2
3, gender,0,15,0.09999999999999998
3, gender,0,20,-0.050000000000000044
3, gender,0,25,-0.09999999999999998
3, gender,1,5,-0.09999999999999998
3, gender,1,10,-0.19999999999999996
3, gender,1,15,-0.09999999999999998
3, gender,1,20,0.04999999999999999
3, gender,1,25,0.09999999999999998
4, gender,0,5,-0.09999999999999998
4, gender,0,10,0.09999999999999998
4, gender,0,15,-0.033333333333333326
4, gender,0,20,-0.050000000000000044
4, gender,0,25,-0.06000000000000005
4, gender,1,5,0.09999999999999998
4, gender,1,10,-0.09999999999999998
4, gender,1,15,0.033333333333333326
4, gender,1,20,0.04999999999999999
4, gender,1,25,0.06
5, gender,0,5,-0.09999999999999998
5, gender,0,10,0.0
5, gender,0,15,-0.033333333333333326
5, gender,0,20,-0.15000000000000002
5, gender,0,25,-0.14
5, gender,1,5,0.09999999999999998
5, gender,1,10,0.0
5, gender,1,15,0.033333333333333326
5, gender,1,20,0.15000000000000002
5, gender,1,25,0.14
6, gender,0,5,-0.09999999999999998
6, gender,0,10,0.09999999999999998
6, gender,0,15,-0.033333333333333326
6, gender,0,20,-0.050000000000000044
6, gender,0,25,-0.06000000000000005
6, gender,1,5,0.09999999999999998
6, gender,1,10,-0.09999999999999998
6, gender,1,15,0.033333333333333326
6, gender,1,20,0.04999999999999999
6, gender,1,25,0.06
7, gender,0,5,-0.09999999999999998
7, gender,0,10,0.0
7, gender,0,15,-0.09999999999999998
7, gender,0,20,-0.15000000000000002
7, gender,0,25,-0.18000000000000005
7, gender,1,5,0.09999999999999998
7, gender,1,10,0.0
7, gender,1,15,0.09999999999999998
7, gender,1,20,0.15000000000000002
7, gender,1,25,0.18
8, gender,0,5,-0.09999999999999998
8, gender,0,10,0.09999999999999998
8, gender,0,15,-0.033333333333333326
8, gender,0,20,-0.050000000000000044
8, gender,0,25,-0.06000000000000005
8, gender,1,5,0.09999999999999998
8, gender,1,10,-0.09999999999999998
8, gender,1,15,0.033333333333333326
8, gender,1,20,0.04999999999999999
8, gender,1,25,0.06
9, gender,0,5,-0.30000000000000004
9, gender,0,10,-0.30000000000000004
9, gender,0,15,-0.23333333333333328
9, gender,0,20,-0.19999999999999996
9, gender,0,25,-0.26
9, gender,1,5,0.3
9, gender,1,10,0.3
9, gender,1,15,0.23333333333333334
9, gender,1,20,0.2
9, gender,1,25,0.26
10, gender,0,5,0.09999999999999998
10, gender,0,10,0.2
10, gender,0,15,0.09999999999999998
10, gender,0,20,0.0
10, gender,0,25,-0.09999999999999998
10, gender,1,5,-0.09999999999999998
10, gender,1,10,-0.19999999999999996
10, gender,1,15,-0.09999999999999998
10, gender,1,20,0.0
10, gender,1,25,0.09999999999999998
11, gender,0,5,-0.09999999999999998
11, gender,0,10,0.09999999999999998
11, gender,0,15,-0.033333333333333326
11, gender,0,20,-0.050000000000000044
11, gender,0,25,-0.06000000000000005
11, gender,1,5,0.09999999999999998
11, gender,1,10,-0.09999999999999998
11, gender,1,15,0.033333333333333326
11, gender,1,20,0.04999999999999999
11, gender,1,25,0.06
12, gender,0,5,-0.09999999999999998
12, gender,0,10,0.09999999999999998
12, gender,0,15,-0.033333333333333326
12, gender,0,20,-0.050000000000000044
12, gender,0,25,-0.06000000000000005
12, gender,1,5,0.09999999999999998
12, gender,1,10,-0.09999999999999998
12, gender,1,15,0.033333333333333326
12, gender,1,20,0.04999999999999999
12, gender,1,25,0.06
13, gender,0,5,0.09999999999999998
13, gender,0,10,0.0
13, gender,0,15,-0.09999999999999998
13, gender,0,20,-0.09999999999999998
13, gender,0,25,-0.09999999999999998
13, gender,1,5,-0.09999999999999998
13, gender,1,10,0.0
13, gender,1,15,0.09999999999999998
13, gender,1,20,0.09999999999999998
13, gender,1,25,0.09999999999999998
14, gender,0,5,-0.09999999999999998
14, gender,0,10,0.09999999999999998
14, gender,0,15,-0.033333333333333326
14, gender,0,20,-0.050000000000000044
14, gender,0,25,-0.06000000000000005
14, gender,1,5,0.09999999999999998
14, gender,1,10,-0.09999999999999998
14, gender,1,15,0.033333333333333326
14, gender,1,20,0.04999999999999999
14, gender,1,25,0.06
15, gender,0,5,-0.09999999999999998
15, gender,0,10,0.09999999999999998
15, gender,0,15,-0.033333333333333326
15, gender,0,20,-0.050000000000000044
15, gender,0,25,-0.06000000000000005
15, gender,1,5,0.09999999999999998
15, gender,1,10,-0.09999999999999998
15, gender,1,15,0.033333333333333326
15, gender,1,20,0.04999999999999999
15, gender,1,25,0.06
16, gender,0,5,-0.09999999999999998
16, gender,0,10,0.09999999999999998
16, gender,0,15,-0.033333333333333326
16, gender,0,20,-0.050000000000000044
16, gender,0,25,-0.06000000000000005
16, gender,1,5,0.09999999999999998
16, gender,1,10,-0.09999999999999998
16, gender,1,15,0.033333333333333326
16, gender,1,20,0.04999999999999999
16, gender,1,25,0.06
17, gender,0,5,-0.09999999999999998
17, gender,0,10,0.09999999999999998
17, gender,0,15,-0.033333333333333326
17, gender,0,20,-0.050000000000000044
17, gender,0,25,-0.06000000000000005
17, gender,1,5,0.09999999999999998
17, gender,1,10,-0.09999999999999998
17, gender,1,15,0.033333333333333326
17, gender,1,20,0.04999999999999999
17, gender,1,25,0.06
18, gender,0,5,-0.09999999999999998
18, gender,0,10,0.09999999999999998
18, gender,0,15,-0.033333333333333326
18, gender,0,20,-0.050000000000000044
18, gender,0,25,-0.06000000000000005
18, gender,1,5,0.09999999999999998
18, gender,1,10,-0.09999999999999998
18, gender,1,15,0.033333333333333326
18, gender,1,20,0.04999999999999999
18, gender,1,25,0.06
19, gender,0,5,-0.09999999999999998
19, gender,0,10,0.09999999999999998
19, gender,0,15,-0.033333333333333326
19, gender,0,20,-0.050000000000000044
19, gender,0,25,-0.06000000000000005
19, gender,1,5,0.09999999999999998
19, gender,1,10,-0.09999999999999998
19, gender,1,15,0.033333333333333326
19, gender,1,20,0.04999999999999999
19, gender,1,25,0.06
20, gender,0,5,-0.09999999999999998
20, gender,0,10,0.09999999999999998
20, gender,0,15,-0.033333333333333326
20, gender,0,20,-0.050000000000000044
20, gender,0,25,-0.06000000000000005
20, gender,1,5,0.09999999999999998
20, gender,1,10,-0.09999999999999998
20, gender,1,15,0.033333333333333326
20, gender,1,20,0.04999999999999999
20, gender,1,25,0.06
21, gender,0,5,-0.5
21, gender,0,10,-0.4
21, gender,0,15,-0.3666666666666667
21, gender,0,20,-0.35
21, gender,0,25,-0.26
21, gender,1,5,0.5
21, gender,1,10,0.4
21, gender,1,15,0.3666666666666667
21, gender,1,20,0.35
21, gender,1,25,0.26
22, gender,0,5,-0.09999999999999998
22, gender,0,10,0.09999999999999998
22, gender,0,15,0.033333333333333326
22, gender,0,20,-0.050000000000000044
22, gender,0,25,-0.06000000000000005
22, gender,1,5,0.09999999999999998
22, gender,1,10,-0.09999999999999998
22, gender,1,15,-0.033333333333333326
22, gender,1,20,0.04999999999999999
22, gender,1,25,0.06
23, gender,0,5,-0.09999999999999998
23, gender,0,10,0.09999999999999998
23, gender,0,15,-0.033333333333333326
23, gender,0,20,-0.050000000000000044
23, gender,0,25,-0.06000000000000005
23, gender,1,5,0.09999999999999998
23, gender,1,10,-0.09999999999999998
23, gender,1,15,0.033333333333333326
23, gender,1,20,0.04999999999999999
23, gender,1,25,0.06
24, gender,0,5,-0.09999999999999998
24, gender,0,10,0.09999999999999998
24, gender,0,15,-0.033333333333333326
24, gender,0,20,-0.050000000000000044
24, gender,0,25,-0.06000000000000005
24, gender,1,5,0.09999999999999998
24, gender,1,10,-0.09999999999999998
24, gender,1,15,0.033333333333333326
24, gender,1,20,0.04999999999999999
24, gender,1,25,0.06
25, gender,0,5,0.09999999999999998
25, gender,0,10,-0.19999999999999996
25, gender,0,15,-0.09999999999999998
25, gender,0,20,-0.09999999999999998
25, gender,0,25,-0.18000000000000005
25, gender,1,5,-0.09999999999999998
25, gender,1,10,0.2
25, gender,1,15,0.09999999999999998
25, gender,1,20,0.09999999999999998
25, gender,1,25,0.18
26, gender,0,5,-0.30000000000000004
26, gender,0,10,-0.19999999999999996
26, gender,0,15,-0.23333333333333328
26, gender,0,20,-0.19999999999999996
26, gender,0,25,-0.21999999999999997
26, gender,1,5,0.3
26, gender,1,10,0.2
26, gender,1,15,0.23333333333333334
26, gender,1,20,0.2
26, gender,1,25,0.21999999999999997
27, gender,0,5,-0.09999999999999998
27, gender,0,10,0.09999999999999998
27, gender,0,15,-0.033333333333333326
27, gender,0,20,-0.050000000000000044
27, gender,0,25,-0.06000000000000005
27, gender,1,5,0.09999999999999998
27, gender,1,10,-0.09999999999999998
27, gender,1,15,0.033333333333333326
27, gender,1,20,0.04999999999999999
27, gender,1,25,0.06
28, gender,0,5,-0.09999999999999998
28, gender,0,10,0.09999999999999998
28, gender,0,15,-0.033333333333333326
28, gender,0,20,-0.050000000000000044
28, gender,0,25,-0.06000000000000005
28, gender,1,5,0.09999999999999998
28, gender,1,10,-0.09999999999999998
28, gender,1,15,0.033333333333333326
28, gender,1,20,0.04999999999999999
28, gender,1,25,0.06
29, gender,0,5,-0.09999999999999998
29, gender,0,10,0.0
29, gender,0,15,-0.09999999999999998
29, gender,0,20,-0.15000000000000002
29, gender,0,25,-0.14
29, gender,1,5,0.09999999999999998
29, gender,1,10,0.0
29, gender,1,15,0.09999999999999998
29, gender,1,20,0.15000000000000002
29, gender,1,25,0.14
30, gender,0,5,-0.09999999999999998
30, gender,0,10,0.0
30, gender,0,15,-0.09999999999999998
30, gender,0,20,-0.09999999999999998
30, gender,0,25,-0.18000000000000005
30, gender,1,5,0.09999999999999998
30, gender,1,10,0.0
30, gender,1,15,0.09999999999999998
30, gender,1,20,0.09999999999999998
30, gender,1,25,0.18
31, gender,0,5,0.09999999999999998
31, gender,0,10,0.0
31, gender,0,15,-0.09999999999999998
31, gender,0,20,-0.19999999999999996
31, gender,0,25,-0.21999999999999997
31, gender,1,5,-0.09999999999999998
31, gender,1,10,0.0
31, gender,1,15,0.09999999999999998
31, gender,1,20,0.2
31, gender,1,25,0.21999999999999997
32, gender,0,5,-0.09999999999999998
32, gender,0,10,0.09999999999999998
32, gender,0,15,-0.033333333333333326
32, gender,0,20,-0.050000000000000044
32, gender,0,25,-0.06000000000000005
32, gender,1,5,0.09999999999999998
32, gender,1,10,-0.09999999999999998
32, gender,1,15,0.033333333333333326
32, gender,1,20,0.04999999999999999
32, gender,1,25,0.06
33, gender,0,5,-0.09999999999999998
33, gender,0,10,0.09999999999999998
33, gender,0,15,-0.033333333333333326
33, gender,0,20,-0.050000000000000044
33, gender,0,25,-0.06000000000000005
33, gender,1,5,0.09999999999999998
33, gender,1,10,-0.09999999999999998
33, gender,1,15,0.033333333333333326
33, gender,1,20,0.04999999999999999
33, gender,1,25,0.06
34, gender,0,5,-0.30000000000000004
34, gender,0,10,-0.19999999999999996
34, gender,0,15,-0.23333333333333328
34, gender,0,20,-0.19999999999999996
34, gender,0,25,-0.21999999999999997
34, gender,1,5,0.3
34, gender,1,10,0.2
34, gender,1,15,0.23333333333333334
34, gender,1,20,0.2
34, gender,1,25,0.21999999999999997
35, gender,0,5,-0.09999999999999998
35, gender,0,10,0.09999999999999998
35, gender,0,15,-0.033333333333333326
35, gender,0,20,-0.050000000000000044
35, gender,0,25,-0.06000000000000005
35, gender,1,5,0.09999999999999998
35, gender,1,10,-0.09999999999999998
35, gender,1,15,0.033333333333333326
35, gender,1,20,0.04999999999999999
35, gender,1,25,0.06
36, gender,0,5,-0.09999999999999998
36, gender,0,10,0.09999999999999998
36, gender,0,15,-0.033333333333333326
36, gender,0,20,-0.050000000000000044
36, gender,0,25,-0.06000000000000005
36, gender,1,5,0.09999999999999998
36, gender,1,10,-0.09999999999999998
36, gender,1,15,0.033333333333333326
36, gender,1,20,0.04999999999999999
36, gender,1,25,0.06
37, gender,0,5,-0.09999999999999998
37, gender,0,10,0.09999999999999998
37, gender,0,15,-0.033333333333333326
37, gender,0,20,-0.050000000000000044
37, gender,0,25,-0.06000000000000005
37, gender,1,5,0.09999999999999998
37, gender,1,10,-0.09999999999999998
37, gender,1,15,0.033333333333333326
37, gender,1,20,0.04999999999999999
37, gender,1,25,0.06
38, gender,0,5,-0.09999999999999998
38, gender,0,10,0.0
38, gender,0,15,-0.033333333333333326
38, gender,0,20,-0.09999999999999998
38, gender,0,25,-0.09999999999999998
38, gender,1,5,0.09999999999999998
