id,attribute,value,k,group_fairness_score
0, gender,0,5,-0.09999999999999998
0, gender,0,10,-0.09999999999999998
0, gender,0,15,-0.09999999999999998
0, gender,0,20,-0.15000000000000002
0, gender,0,25,-0.09999999999999998
0, gender,1,5,0.09999999999999998
0, gender,1,10,0.09999999999999998
0, gender,1,15,0.09999999999999998
0, gender,1,20,0.15000000000000002
0, gender,1,25,0.09999999999999998
1, gender,0,5,-0.30000000000000004
1, gender,0,10,-0.19999999999999996
1, gender,0,15,-0.23333333333333328
1, gender,0,20,-0.25
1, gender,0,25,-0.26
1, gender,1,5,0.3
1, gender,1,10,0.2
1, gender,1,15,0.23333333333333334
1, gender,1,20,0.25
1, gender,1,25,0.26
2, gender,0,5,-0.09999999999999998
2, gender,0,10,0.0
2, gender,0,15,-0.033333333333333326
2, gender,0,20,0.0
2, gender,0,25,-0.06000000000000005
2, gender,1,5,0.09999999999999998
2, gender,1,10,0.0
2, gender,1,15,0.033333333333333326
2, gender,1,20,0.0
2, gender,1,25,0.06
3, gender,0,5,-0.09999999999999998
3, gender,0,10,-0.30000000000000004
3, gender,0,15,-0.30000000000000004
3, gender,0,20,-0.19999999999999996
3, gender,0,25,-0.18000000000000005
3, gender,1,5,0.09999999999999998
3, gender,1,10,0.3
3, gender,1,15,0.3
3, gender,1,20,0.2
3, gender,1,25,0.18
4, gender,0,5,-0.30000000000000004
4, gender,0,10,-0.19999999999999996
4, gender,0,15,0.033333333333333326
4, gender,0,20,-0.09999999999999998
4, gender,0,25,-0.09999999999999998
4, gender,1,5,0.3
4, gender,1,10,0.2
4, gender,1,15,-0.033333333333333326
4, gender,1,20,0.09999999999999998
4, gender,1,25,0.09999999999999998
5, gender,0,5,-0.09999999999999998
5, gender,0,10,-0.30000000000000004
5, gender,0,15,-0.16666666666666663
5, gender,0,20,-0.15000000000000002
5, gender,0,25,-0.14
5, gender,1,5,0.09999999999999998
5, gender,1,10,0.3
5, gender,1,15,0.16666666666666669
5, gender,1,20,0.15000000000000002
5, gender,1,25,0.14
6, gender,0,5,0.09999999999999998
6, gender,0,10,0.0
6, gender,0,15,-0.09999999999999998
6, gender,0,20,-0.15000000000000002
6, gender,0,25,-0.14
6, gender,1,5,-0.09999999999999998
6, gender,1,10,0.0
6, gender,1,15,0.09999999999999998
6, gender,1,20,0.15000000000000002
6, gender,1,25,0.14
7, gender,0,5,0.09999999999999998
7, gender,0,10,-0.09999999999999998
7, gender,0,15,-0.16666666666666663
7, gender,0,20,-0.19999999999999996
7, gender,0,25,-0.14
7, gender,1,5,-0.09999999999999998
7, gender,1,10,0.09999999999999998
7, gender,1,15,0.16666666666666669
7, gender,1,20,0.2
7, gender,1,25,0.14
8, gender,0,5,0.09999999999999998
8, gender,0,10,0.0
8, gender,0,15,-0.09999999999999998
8, gender,0,20,-0.15000000000000002
8, gender,0,25,-0.09999999999999998
8, gender,1,5,-0.09999999999999998
8, gender,1,10,0.0
8, gender,1,15,0.09999999999999998
8, gender,1,20,0.15000000000000002
8, gender,1,25,0.09999999999999998
9, gender,0,5,-0.09999999999999998
9, gender,0,10,-0.19999999999999996
9, gender,0,15,-0.16666666666666663
9, gender,0,20,-0.19999999999999996
9, gender,0,25,-0.09999999999999998
9, gender,1,5,0.09999999999999998
9, gender,1,10,0.2
9, gender,1,15,0.16666666666666669
9, gender,1,20,0.2
9, gender,1,25,0.09999999999999998
10, gender,0,5,-0.30000000000000004
10, gender,0,10,-0.09999999999999998
10, gender,0,15,-0.16666666666666663
10, gender,0,20,-0.25
10, gender,0,25,-0.30000000000000004
10, gender,1,5,0.3
10, gender,1,10,0.09999999999999998
10, gender,1,15,0.16666666666666669
10, gender,1,20,0.25
10, gender,1,25,0.3
11, gender,0,5,0.09999999999999998
11, gender,0,10,-0.19999999999999996
11, gender,0,15,-0.09999999999999998
11, gender,0,20,-0.15000000000000002
11, gender,0,25,-0.18000000000000005
11, gender,1,5,-0.09999999999999998
11, gender,1,10,0.2
11, gender,1,15,0.09999999999999998
11, gender,1,20,0.15000000000000002
11, gender,1,25,0.18
12, gender,0,5,-0.30000000000000004
12, gender,0,10,-0.30000000000000004
12, gender,0,15,-0.23333333333333328
12, gender,0,20,-0.19999999999999996
12, gender,0,25,-0.21999999999999997
12, gender,1,5,0.3
12, gender,1,10,0.3
12, gender,1,15,0.23333333333333334
12, gender,1,20,0.2
12, gender,1,25,0.21999999999999997
13, gender,0,5,-0.30000000000000004
13, gender,0,10,-0.09999999999999998
13, gender,0,15,-0.16666666666666663
13, gender,0,20,-0.15000000000000002
13, gender,0,25,-0.06000000000000005
13, gender,1,5,0.3
13, gender,1,10,0.09999999999999998
13, gender,1,15,0.16666666666666669
13, gender,1,20,0.15000000000000002
13, gender,1,25,0.06
14, gender,0,5,-0.09999999999999998
14, gender,0,10,0.0
14, gender,0,15,0.033333333333333326
14, gender,0,20,-0.050000000000000044
14, gender,0,25,-0.06000000000000005
14, gender,1,5,0.09999999999999998
14, gender,1,10,0.0
14, gender,1,15,-0.033333333333333326
14, gender,1,20,0.04999999999999999
14, gender,1,25,0.06
15, gender,0,5,-0.09999999999999998
15, gender,0,10,-0.19999999999999996
15, gender,0,15,-0.16666666666666663
15, gender,0,20,-0.09999999999999998
15, gender,0,25,-0.14
15, gender,1,5,0.09999999999999998
15, gender,1,10,0.2
15, gender,1,15,0.16666666666666669
15, gender,1,20,0.09999999999999998
15, gender,1,25,0.14
16, gender,0,5,-0.5
16, gender,0,10,-0.4
16, gender,0,15,-0.3666666666666667
16, gender,0,20,-0.25
16, gender,0,25,-0.18000000000000005
16, gender,1,5,0.5
16, gender,1,10,0.4
16, gender,1,15,0.3666666666666667
16, gender,1,20,0.25
16, gender,1,25,0.18
17, gender,0,5,-0.09999999999999998
17, gender,0,10,-0.09999999999999998
17, gender,0,15,-0.09999999999999998
17, gender,0,20,-0.050000000000000044
17, gender,0,25,-0.09999999999999998
17, gender,1,5,0.09999999999999998
17, gender,1,10,0.09999999999999998
17, gender,1,15,0.09999999999999998
17, gender,1,20,0.04999999999999999
17, gender,1,25,0.09999999999999998
18, gender,0,5,-0.30000000000000004
18, gender,0,10,-0.09999999999999998
18, gender,0,15,-0.23333333333333328
18, gender,0,20,-0.25
18, gender,0,25,-0.18000000000000005
18, gender,1,5,0.3
18, gender,1,10,0.09999999999999998
18, gender,1,15,0.23333333333333334
18, gender,1,20,0.25
18, gender,1,25,0.18
19, gender,0,5,-0.09999999999999998
19, gender,0,10,0.09999999999999998
19, gender,0,15,0.23333333333333334
19, gender,0,20,0.09999999999999998
19, gender,0,25,0.06
19, gender,1,5,0.09999999999999998
19, gender,1,10,-0.09999999999999998
19, gender,1,15,-0.23333333333333328
19, gender,1,20,-0.09999999999999998
19, gender,1,25,-0.06000000000000005
20, gender,0,5,0.3
20, gender,0,10,0.09999999999999998
20, gender,0,15,0.09999999999999998
20, gender,0,20,0.0
20, gender,0,25,-0.06000000000000005
20, gender,1,5,-0.30000000000000004
20, gender,1,10,-0.09999999999999998
20, gender,1,15,-0.09999999999999998
20, gender,1,20,0.0
20, gender,1,25,0.06
21, gender,0,5,0.09999999999999998
21, gender,0,10,-0.09999999999999998
21, gender,0,15,-0.16666666666666663
21, gender,0,20,-0.25
21, gender,0,25,-0.21999999999999997
21, gender,1,5,-0.09999999999999998
21, gender,1,10,0.09999999999999998
21, gender,1,15,0.16666666666666669
21, gender,1,20,0.25
21, gender,1,25,0.21999999999999997
22, gender,0,5,-0.30000000000000004
22, gender,0,10,0.0
22, gender,0,15,-0.09999999999999998
22, gender,0,20,-0.050000000000000044
22, gender,0,25,-0.06000000000000005
22, gender,1,5,0.3
22, gender,1,10,0.0
22, gender,1,15,0.09999999999999998
22, gender,1,20,0.04999999999999999
22, gender,1,25,0.06
23, gender,0,5,-0.09999999999999998
23, gender,0,10,-0.09999999999999998
23, gender,0,15,-0.16666666666666663
23, gender,0,20,-0.19999999999999996
23, gender,0,25,-0.18000000000000005
23, gender,1,5,0.09999999999999998
23, gender,1,10,0.09999999999999998
23, gender,1,15,0.16666666666666669
23, gender,1,20,0.2
23, gender,1,25,0.18
24, gender,0,5,-0.30000000000000004
24, gender,0,10,-0.09999999999999998
24, gender,0,15,-0.09999999999999998
24, gender,0,20,-0.050000000000000044
24, gender,0,25,-0.09999999999999998
24, gender,1,5,0.3
24, gender,1,10,0.09999999999999998
24, gender,1,15,0.09999999999999998
24, gender,1,20,0.04999999999999999
24, gender,1,25,0.09999999999999998
25, gender,0,5,0.09999999999999998
25, gender,0,10,0.09999999999999998
25, gender,0,15,0.033333333333333326
25, gender,0,20,0.0
25, gender,0,25,-0.020000000000000018
25, gender,1,5,-0.09999999999999998
25, gender,1,10,-0.09999999999999998
25, gender,1,15,-0.033333333333333326
25, gender,1,20,0.0
25, gender,1,25,0.020000000000000018
26, gender,0,5,-0.09999999999999998
26, gender,0,10,-0.30000000000000004
26, gender,0,15,-0.23333333333333328
26, gender,0,20,-0.25
26, gender,0,25,-0.21999999999999997
26, gender,1,5,0.09999999999999998
26, gender,1,10,0.3
26, gender,1,15,0.23333333333333334
26, gender,1,20,0.25
26, gender,1,25,0.21999999999999997
27, gender,0,5,-0.30000000000000004
27, gender,0,10,-0.30000000000000004
27, gender,0,15,-0.23333333333333328
27, gender,0,20,-0.25
27, gender,0,25,-0.14
27, gender,1,5,0.3
27, gender,1,10,0.3
27, gender,1,15,0.23333333333333334
27, gender,1,20,0.25
27, gender,1,25,0.14
28, gender,0,5,-0.30000000000000004
28, gender,0,10,-0.19999999999999996
28, gender,0,15,-0.16666666666666663
28, gender,0,20,-0.15000000000000002
28, gender,0,25,-0.14
28, gender,1,5,0.3
28, gender,1,10,0.2
28, gender,1,15,0.16666666666666669
28, gender,1,20,0.15000000000000002
28, gender,1,25,0.14
29, gender,0,5,-0.5
29, gender,0,10,-0.4
29, gender,0,15,-0.43333333333333335
29, gender,0,20,-0.44999999999999996
29, gender,0,25,-0.38
29, gender,1,5,0.5
29, gender,1,10,0.4
29, gender,1,15,0.43333333333333335
29, gender,1,20,0.45
29, gender,1,25,0.38
30, gender,0,5,-0.30000000000000004
30, gender,0,10,-0.19999999999999996
30, gender,0,15,-0.16666666666666663
30, gender,0,20,-0.15000000000000002
30, gender,0,25,-0.18000000000000005
30, gender,1,5,0.3
30, gender,1,10,0.2
30, gender,1,15,0.16666666666666669
30, gender,1,20,0.15000000000000002
30, gender,1,25,0.18
31, gender,0,5,-0.09999999999999998
31, gender,0,10,-0.19999999999999996
31, gender,0,15,-0.30000000000000004
31, gender,0,20,-0.19999999999999996
31, gender,0,25,-0.21999999999999997
31, gender,1,5,0.09999999999999998
31, gender,1,10,0.2
31, gender,1,15,0.3
31, gender,1,20,0.2
31, gender,1,25,0.21999999999999997
32, gender,0,5,-0.30000000000000004
32, gender,0,10,-0.19999999999999996
32, gender,0,15,-0.16666666666666663
32, gender,0,20,-0.15000000000000002
32, gender,0,25,-0.14
32, gender,1,5,0.3
32, gender,1,10,0.2
32, gender,1,15,0.16666666666666669
32, gender,1,20,0.15000000000000002
32, gender,1,25,0.14
33, gender,0,5,-0.09999999999999998
33, gender,0,10,-0.19999999999999996
33, gender,0,15,-0.16666666666666663
33, gender,0,20,-0.15000000000000002
33, gender,0,25,-0.09999999999999998
33, gender,1,5,0.09999999999999998
33, gender,1,10,0.2
33, gender,1,15,0.16666666666666669
33, gender,1,20,0.15000000000000002
33, gender,1,25,0.09999999999999998
34, gender,0,5,-0.09999999999999998
34, gender,0,10,-0.09999999999999998
34, gender,0,15,-0.16666666666666663
34, gender,0,20,-0.09999999999999998
34, gender,0,25,-0.14
34, gender,1,5,0.09999999999999998
34, gender,1,10,0.09999999999999998
34, gender,1,15,0.16666666666666669
34, gender,1,20,0.09999999999999998
34, gender,1,25,0.14
35, gender,0,5,0.3
35, gender,0,10,0.2
35, gender,0,15,0.033333333333333326
35, gender,0,20,0.04999999999999999
35, gender,0,25,-0.020000000000000018
35, gender,1,5,-0.30000000000000004
35, gender,1,10,-0.19999999999999996
35, gender,1,15,-0.033333333333333326
35, gender,1,20,-0.050000000000000044
35, gender,1,25,0.020000000000000018
36, gender,0,5,-0.5
36, gender,0,10,-0.4
36, gender,0,15,-0.23333333333333328
36, gender,0,20,-0.19999999999999996
36, gender,0,25,-0.18000000000000005
36, gender,1,5,0.5
36, gender,1,10,0.4
36, gender,1,15,0.23333333333333334
36, gender,1,20,0.2
36, gender,1,25,0.18
37, gender,0,5,-0.09999999999999998
37, gender,0,10,-0.19999999999999996
37, gender,0,15,-0.16666666666666663
37, gender,0,20,-0.15000000000000002
37, gender,0,25,-0.09999999999999998
37, gender,1,5,0.09999999999999998
37, gender,1,10,0.2
37, gender,1,15,0.16666666666666669
37, gender,1,20,0.15000000000000002
37, gender,1,25,0.09999999999999998
38, gender,0,5,-0.30000000000000004
38, gender,0,10,-0.30000000000000004
38, gender,0,15,-0.23333333333333328
38, gender,0,20,-0.09999999999999998
38, gender,0,25,-0.14
38, gender,1,5,0.3
38, gender,1,10,0.3
38, gender,1,15,0.23333333333333334
38, gender,1,20,0.09999999999999998
38, gender,1,25,0.14
39, gender,0,5,-0.30000000000000004
39, gender,0,10,-0.09999999999999998
39, gender,0,15,-0.16666666666666663
39, gender,0,20,-0.25
39, gender,0,25,-0.26
39, gender,1,5,0.3
39, gender,1,10,0.09999999999999998
39, gender,1,15,0.16666666666666669
39, gender,1,20,0.25
39, gender,1,25,0.26
