id,attribute,value,k,group_fairness_score
0, gender,0,5,-0.30000000000000004
0, gender,0,10,-0.19999999999999996
0, gender,0,20,-0.050000000000000044
0, gender,0,25,0.020000000000000018
0, gender,1,5,0.3
0, gender,1,10,0.2
0, gender,1,20,0.04999999999999999
0, gender,1,25,-0.020000000000000018
1, gender,0,5,0.09999999999999998
1, gender,0,10,-0.19999999999999996
1, gender,0,20,-0.15000000000000002
1, gender,0,25,-0.18000000000000005
1, gender,1,5,-0.09999999999999998
1, gender,1,10,0.2
1, gender,1,20,0.15000000000000002
1, gender,1,25,0.18
2, gender,0,5,-0.30000000000000004
2, gender,0,10,-0.19999999999999996
2, gender,0,20,-0.050000000000000044
2, gender,0,25,-0.09999999999999998
2, gender,1,5,0.3
2, gender,1,10,0.2
2, gender,1,20,0.04999999999999999
2, gender,1,25,0.09999999999999998
3, gender,0,5,-0.09999999999999998
3, gender,0,10,-0.09999999999999998
3, gender,0,20,-0.09999999999999998
3, gender,0,25,-0.14
3, gender,1,5,0.09999999999999998
3, gender,1,10,0.09999999999999998
3, gender,1,20,0.09999999999999998
3, gender,1,25,0.14
4, gender,0,5,-0.09999999999999998
4, gender,0,10,-0.19999999999999996
4, gender,0,20,-0.15000000000000002
4, gender,0,25,-0.14
4, gender,1,5,0.09999999999999998
4, gender,1,10,0.2
4, gender,1,20,0.15000000000000002
4, gender,1,25,0.14
5, gender,0,5,0.09999999999999998
5, gender,0,10,0.0
5, gender,0,20,-0.050000000000000044
5, gender,0,25,-0.09999999999999998
5, gender,1,5,-0.09999999999999998
5, gender,1,10,0.0
5, gender,1,20,0.04999999999999999
5, gender,1,25,0.09999999999999998
6, gender,0,5,0.09999999999999998
6, gender,0,10,-0.19999999999999996
6, gender,0,20,-0.15000000000000002
6, gender,0,25,-0.09999999999999998
6, gender,1,5,-0.09999999999999998
6, gender,1,10,0.2
6, gender,1,20,0.15000000000000002
6, gender,1,25,0.09999999999999998
7, gender,0,5,-0.09999999999999998
7, gender,0,10,-0.19999999999999996
7, gender,0,20,-0.25
7, gender,0,25,-0.18000000000000005
7, gender,1,5,0.09999999999999998
7, gender,1,10,0.2
7, gender,1,20,0.25
7, gender,1,25,0.18
8, gender,0,5,-0.30000000000000004
8, gender,0,10,-0.19999999999999996
8, gender,0,20,-0.09999999999999998
8, gender,0,25,-0.09999999999999998
8, gender,1,5,0.3
8, gender,1,10,0.2
8, gender,1,20,0.09999999999999998
8, gender,1,25,0.09999999999999998
9, gender,0,5,-0.09999999999999998
9, gender,0,10,0.0
9, gender,0,20,-0.050000000000000044
9, gender,0,25,-0.14
9, gender,1,5,0.09999999999999998
9, gender,1,10,0.0
9, gender,1,20,0.04999999999999999
9, gender,1,25,0.14
10, gender,0,5,-0.30000000000000004
10, gender,0,10,-0.30000000000000004
10, gender,0,20,-0.19999999999999996
10, gender,0,25,-0.14
10, gender,1,5,0.3
10, gender,1,10,0.3
10, gender,1,20,0.2
10, gender,1,25,0.14
11, gender,0,5,-0.5
11, gender,0,10,-0.30000000000000004
11, gender,0,20,-0.19999999999999996
11, gender,0,25,-0.18000000000000005
11, gender,1,5,0.5
11, gender,1,10,0.3
11, gender,1,20,0.2
11, gender,1,25,0.18
12, gender,0,5,-0.5
12, gender,0,10,-0.30000000000000004
12, gender,0,20,-0.19999999999999996
12, gender,0,25,-0.18000000000000005
12, gender,1,5,0.5
12, gender,1,10,0.3
12, gender,1,20,0.2
12, gender,1,25,0.18
13, gender,0,5,-0.30000000000000004
13, gender,0,10,0.0
13, gender,0,20,-0.050000000000000044
13, gender,0,25,-0.09999999999999998
13, gender,1,5,0.3
13, gender,1,10,0.0
13, gender,1,20,0.04999999999999999
13, gender,1,25,0.09999999999999998
14, gender,0,5,-0.30000000000000004
14, gender,0,10,-0.09999999999999998
14, gender,0,20,-0.050000000000000044
14, gender,0,25,-0.09999999999999998
14, gender,1,5,0.3
14, gender,1,10,0.09999999999999998
14, gender,1,20,0.04999999999999999
14, gender,1,25,0.09999999999999998
15, gender,0,5,-0.5
15, gender,0,10,-0.30000000000000004
15, gender,0,20,-0.19999999999999996
15, gender,0,25,-0.18000000000000005
15, gender,1,5,0.5
15, gender,1,10,0.3
15, gender,1,20,0.2
15, gender,1,25,0.18
16, gender,0,5,-0.30000000000000004
16, gender,0,10,-0.19999999999999996
16, gender,0,20,-0.09999999999999998
16, gender,0,25,-0.09999999999999998
16, gender,1,5,0.3
16, gender,1,10,0.2
16, gender,1,20,0.09999999999999998
16, gender,1,25,0.09999999999999998
17, gender,0,5,-0.09999999999999998
17, gender,0,10,-0.09999999999999998
17, gender,0,20,-0.15000000000000002
17, gender,0,25,-0.21999999999999997
17, gender,1,5,0.09999999999999998
17, gender,1,10,0.09999999999999998
17, gender,1,20,0.15000000000000002
17, gender,1,25,0.21999999999999997
18, gender,0,5,-0.5
18, gender,0,10,-0.30000000000000004
18, gender,0,20,-0.19999999999999996
18, gender,0,25,-0.18000000000000005
18, gender,1,5,0.5
18, gender,1,10,0.3
18, gender,1,20,0.2
18, gender,1,25,0.18
19, gender,0,5,-0.09999999999999998
19, gender,0,10,-0.19999999999999996
19, gender,0,20,-0.19999999999999996
19, gender,0,25,-0.21999999999999997
19, gender,1,5,0.09999999999999998
19, gender,1,10,0.2
19, gender,1,20,0.2
19, gender,1,25,0.21999999999999997
20, gender,0,5,0.09999999999999998
20, gender,0,10,-0.19999999999999996
20, gender,0,20,0.0
20, gender,0,25,-0.020000000000000018
20, gender,1,5,-0.09999999999999998
20, gender,1,10,0.2
20, gender,1,20,0.0
20, gender,1,25,0.020000000000000018
21, gender,0,5,-0.30000000000000004
21, gender,0,10,0.0
21, gender,0,20,-0.050000000000000044
21, gender,0,25,-0.06000000000000005
21, gender,1,5,0.3
21, gender,1,10,0.0
21, gender,1,20,0.04999999999999999
21, gender,1,25,0.06
22, gender,0,5,-0.30000000000000004
22, gender,0,10,-0.09999999999999998
22, gender,0,20,-0.19999999999999996
22, gender,0,25,-0.26
22, gender,1,5,0.3
22, gender,1,10,0.09999999999999998
22, gender,1,20,0.2
22, gender,1,25,0.26
23, gender,0,5,-0.5
23, gender,0,10,-0.19999999999999996
23, gender,0,20,-0.25
23, gender,0,25,-0.18000000000000005
23, gender,1,5,0.5
23, gender,1,10,0.2
23, gender,1,20,0.25
23, gender,1,25,0.18
24, gender,0,5,0.09999999999999998
24, gender,0,10,0.09999999999999998
24, gender,0,20,0.0
24, gender,0,25,-0.09999999999999998
24, gender,1,5,-0.09999999999999998
24, gender,1,10,-0.09999999999999998
24, gender,1,20,0.0
24, gender,1,25,0.09999999999999998
25, gender,0,5,0.3
25, gender,0,10,0.09999999999999998
25, gender,0,20,0.0
25, gender,0,25,-0.020000000000000018
25, gender,1,5,-0.30000000000000004
25, gender,1,10,-0.09999999999999998
25, gender,1,20,0.0
25, gender,1,25,0.020000000000000018
26, gender,0,5,0.09999999999999998
26, gender,0,10,-0.09999999999999998
26, gender,0,20,-0.050000000000000044
26, gender,0,25,-0.14
26, gender,1,5,-0.09999999999999998
26, gender,1,10,0.09999999999999998
26, gender,1,20,0.04999999999999999
26, gender,1,25,0.14
27, gender,0,5,0.09999999999999998
27, gender,0,10,-0.09999999999999998
27, gender,0,20,-0.15000000000000002
27, gender,0,25,-0.14
27, gender,1,5,-0.09999999999999998
27, gender,1,10,0.09999999999999998
27, gender,1,20,0.15000000000000002
27, gender,1,25,0.14
28, gender,0,5,-0.09999999999999998
28, gender,0,10,-0.19999999999999996
28, gender,0,20,-0.19999999999999996
28, gender,0,25,-0.18000000000000005
28, gender,1,5,0.09999999999999998
28, gender,1,10,0.2
28, gender,1,20,0.2
28, gender,1,25,0.18
29, gender,0,5,-0.09999999999999998
29, gender,0,10,-0.30000000000000004
29, gender,0,20,-0.19999999999999996
29, gender,0,25,-0.18000000000000005
29, gender,1,5,0.09999999999999998
29, gender,1,10,0.3
29, gender,1,20,0.2
29, gender,1,25,0.18
30, gender,0,5,-0.09999999999999998
30, gender,0,10,-0.19999999999999996
